,year,month,week,hour,report_date,shift,offense,method,district
0,2014,6,26,0,6/25/2014,MIDNIGHT,HOMICIDE,OTHERS,7
1,2012,7,28,17,07/12/2012,EVENING,SEX ABUSE,OTHERS,7
2,2014,10,43,17,10/20/2014,EVENING,SEX ABUSE,KNIFE,3
3,2012,4,17,19,4/24/2012,EVENING,SEX ABUSE,OTHERS,1
4,2014,7,29,2,7/13/2014,MIDNIGHT,HOMICIDE,GUN,5
5,2012,6,45,9,07/11/2012,DAY,SEX ABUSE,OTHERS,5
6,2015,4,18,21,4/26/2015,EVENING,SEX ABUSE,OTHERS,4
7,2012,2,7,2,02/12/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
8,2015,4,20,0,5/13/2015,MIDNIGHT,HOMICIDE,KNIFE,7
9,2015,1,1,0,01/02/2015,MIDNIGHT,SEX ABUSE,OTHERS,6
10,2011,4,15,2,04/08/2011,MIDNIGHT,HOMICIDE,GUN,7
11,2015,10,44,19,10/27/2015,EVENING,SEX ABUSE,OTHERS,7
12,2012,6,24,3,6/14/2012,MIDNIGHT,HOMICIDE,GUN,1
13,2013,5,22,7,5/29/2013,DAY,SEX ABUSE,OTHERS,1
14,2015,1,4,19,1/21/2015,EVENING,SEX ABUSE,OTHERS,2
15,2014,10,41,11,10/09/2014,DAY,SEX ABUSE,OTHERS,4
16,2012,10,41,17,10/08/2012,EVENING,SEX ABUSE,OTHERS,6
17,2015,4,15,2,06/04/2015,MIDNIGHT,HOMICIDE,GUN,6
18,2013,10,45,20,11/07/2013,EVENING,SEX ABUSE,OTHERS,5
19,2012,8,31,21,08/04/2012,EVENING,SEX ABUSE,OTHERS,2
20,2011,11,45,8,11/01/2011,DAY,SEX ABUSE,OTHERS,4
21,2015,11,48,6,11/25/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
22,2011,1,6,19,1/31/2011,EVENING,SEX ABUSE,OTHERS,1
23,2014,2,9,5,2/27/2014,MIDNIGHT,HOMICIDE,KNIFE,7
24,2013,7,30,10,7/22/2013,DAY,SEX ABUSE,OTHERS,3
25,2015,5,21,14,5/22/2015,DAY,SEX ABUSE,OTHERS,4
26,2016,2,8,0,2/19/2016,MIDNIGHT,HOMICIDE,GUN,5
27,2012,6,22,6,06/02/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
28,2013,10,42,3,10/19/2013,MIDNIGHT,SEX ABUSE,GUN,6
29,2012,5,21,16,5/24/2012,EVENING,SEX ABUSE,KNIFE,7
30,2014,4,18,18,4/28/2014,EVENING,SEX ABUSE,OTHERS,2
31,2013,7,28,23,07/08/2013,MIDNIGHT,SEX ABUSE,OTHERS,3
32,2013,11,47,1,11/22/2013,MIDNIGHT,HOMICIDE,GUN,6
33,2015,10,41,19,10/08/2015,EVENING,SEX ABUSE,OTHERS,3
34,2011,10,41,0,10/08/2011,MIDNIGHT,HOMICIDE,KNIFE,4
35,2014,12,52,11,12/26/2014,DAY,SEX ABUSE,OTHERS,7
36,2014,10,43,3,10/19/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
37,2012,7,29,16,7/18/2012,EVENING,SEX ABUSE,OTHERS,5
38,2011,6,26,19,6/22/2011,EVENING,SEX ABUSE,OTHERS,4
39,2011,7,30,0,7/19/2011,MIDNIGHT,HOMICIDE,GUN,4
40,2011,2,9,20,2/25/2011,EVENING,SEX ABUSE,OTHERS,4
41,2015,4,20,21,05/10/2015,EVENING,SEX ABUSE,OTHERS,7
42,2016,1,10,21,2/29/2016,EVENING,SEX ABUSE,OTHERS,3
43,2011,5,21,16,5/18/2011,EVENING,SEX ABUSE,OTHERS,7
44,2014,11,50,15,12/10/2014,EVENING,SEX ABUSE,KNIFE,5
45,2012,4,27,18,05/07/2012,EVENING,SEX ABUSE,OTHERS,7
46,2014,5,20,16,5/13/2014,EVENING,SEX ABUSE,OTHERS,5
47,2015,4,22,6,5/24/2015,MIDNIGHT,SEX ABUSE,KNIFE,3
48,2014,6,23,7,06/06/2014,DAY,SEX ABUSE,OTHERS,4
49,2011,1,9,8,2/26/2011,DAY,SEX ABUSE,OTHERS,3
50,2014,9,40,18,9/30/2014,EVENING,SEX ABUSE,OTHERS,7
51,2012,6,26,20,6/25/2012,EVENING,SEX ABUSE,OTHERS,3
52,2014,2,9,9,2/26/2014,DAY,SEX ABUSE,OTHERS,7
53,2015,8,35,7,8/24/2015,DAY,SEX ABUSE,OTHERS,4
54,2014,4,14,18,04/01/2014,EVENING,SEX ABUSE,OTHERS,5
55,2016,3,12,15,3/14/2016,EVENING,SEX ABUSE,OTHERS,3
56,2012,2,9,4,2/26/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
57,2014,12,53,1,12/28/2014,MIDNIGHT,HOMICIDE,GUN,7
58,2012,6,23,16,06/08/2012,EVENING,SEX ABUSE,OTHERS,4
59,2014,7,31,0,7/31/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
60,2015,2,9,7,2/25/2015,DAY,SEX ABUSE,OTHERS,4
61,2013,8,37,21,09/09/2013,EVENING,SEX ABUSE,OTHERS,7
62,2011,3,12,4,3/14/2011,MIDNIGHT,SEX ABUSE,OTHERS,7
63,2012,9,37,1,09/12/2012,MIDNIGHT,SEX ABUSE,OTHERS,6
64,2011,10,43,0,10/16/2011,MIDNIGHT,HOMICIDE,GUN,7
65,2015,11,46,8,11/09/2015,DAY,SEX ABUSE,KNIFE,5
66,2011,4,21,3,5/20/2011,MIDNIGHT,HOMICIDE,KNIFE,7
67,2011,12,51,1,12/16/2011,MIDNIGHT,SEX ABUSE,KNIFE,5
68,2011,12,49,9,12/01/2011,DAY,SEX ABUSE,OTHERS,6
69,2015,2,9,18,2/28/2015,EVENING,SEX ABUSE,OTHERS,3
70,2013,12,49,0,12/04/2013,MIDNIGHT,SEX ABUSE,OTHERS,1
71,2014,2,6,0,02/05/2014,MIDNIGHT,SEX ABUSE,GUN,6
